"date","load"
2011-01-01,109914
2011-01-02,102543
2011-01-03,153237
2011-01-04,181076
2011-01-05,159950
2011-01-06,157199
2011-01-07,147658
2011-01-08,139643
2011-01-09,130648
2011-01-10,162211
2011-01-11,168392
2011-01-12,158914
2011-01-13,133868
2011-01-14,143983
2011-01-15,125629
2011-01-16,114527
2011-01-17,107247
2011-01-18,78232
2011-01-19,76433
2011-01-20,82383
2011-01-21,82012
2011-01-22,105609
2011-01-23,96880
2011-01-24,116214
2011-01-25,83174
2011-01-26,62643
2011-01-27,83979
2011-01-28,102739
2011-01-29,98833
2011-01-30,121443
2011-01-31,173131
2011-02-01,171311
2011-02-02,147336
2011-02-03,134701
2011-02-04,112077
2011-02-05,117950
2011-02-06,117537
2011-02-07,121709
2011-02-08,145096
2011-02-09,141435
2011-02-10,128464
2011-02-11,128086
2011-02-12,121744
2011-02-13,127771
2011-02-14,152565
2011-02-15,140427
2011-02-16,109697
2011-02-17,117740
2011-02-18,126686
2011-02-19,113267
2011-02-20,103271
2011-02-21,105427
2011-02-22,97293
2011-02-23,83167
2011-02-24,80955
2011-02-25,103068
2011-02-26,115647
2011-02-27,121058
2011-02-28,108010
